msgid,rus,en
Packing the Crates...,УПАКОВЫВАЕМ ЯЩИКИ...,Packing the Crates...
 REWARDS,НАГРАДЫ, REWARDS
WHAT'S YOUR FAVORITE CONSOLE/PC GAMES?,КАКАЯ КОНСОЛЬНАЯ/ПК ИГРА ДЛЯ ВАС ЯВЛЯЕТСЯ ЛЮБИМОЙ?,WHAT'S YOUR FAVORITE CONSOLE/PC GAMES?
TOP 1000,ТОП-100,TOP 1000
Connecting non-toxic players,ПОДКЛЮЧАЕМ НЕТОКСИЧНЫХ ИГРОКОВ...,Connecting non-toxic players
JetpackTrailVFX,,JetpackTrailVFX
"Make weapon upgrades in the game menu. In battle, you will find the gun as it was prepared before the battle.","УЛУЧШАЙТЕ ОРУЖИЕ В ИГРОВОМ МЕНЮ. В МАТЧЕ ВЫ НАЙДЁТЕ ОРУЖИЕ ТАКИМ, КАКИМ ОНО БЫЛО ДО СТАРТА","Make weapon upgrades in the game menu. In battle, you will find the gun as it was prepared before the battle."
TAP ANYWHERE ON THE SCREEN TO PROCEED,"НАЖМИТЕ В ЛЮБОМ МЕСТЕ, ЧТОБЫ ПРОДОЛЖИТЬ",TAP ANYWHERE ON THE SCREEN TO PROCEED
THE BEST PROTECTION FROM HEADSHOTS,ЛУЧШАЯ ЗАЩИТА ОТ ХЭДШОТОВ,THE BEST PROTECTION FROM HEADSHOTS
Entrench,УКРЕПЛЕНИЕ,Entrench
You would earn,ВЫ БЫ ЗАРАБОТАЛИ,You would earn
SELECTING,ВЫБОР,SELECTING
Fire rate,СКОРОСТРЕЛЬНОСТЬ,Fire rate
Boost,,Boost
DELIVERING STARTED,ДОСТАВКА НАЧАЛАСЬ,DELIVERING STARTED
C,,C
Energy Add,,Energy Add
DUO,ВДВОЁМ,DUO
Arrow run,,Arrow run
UNDERWATER,,UNDERWATER
Remaining ammo indicator style,Индикация остатка боеприпасов,Remaining ammo indicator style
Hotshot checking body armor...,ХОТШОТ ПРОВЕРЯЕТ СВОЮ БРОНЮ...,Hotshot checking body armor...
WITH CHIPS YOU CAN:,"С ПОМОЩЬЮ ФИШЕК, ВЫ МОЖЕТЕ:",WITH CHIPS YOU CAN:
GET A PERSONALIZED,ПОЛУЧИТЬ ПЕРСОНАЛЬНОЕ,GET A PERSONALIZED
UNDO,ОТМЕНИТЬ,UNDO
Task-Option,,Task-Option
ACKNOWLEDGE THAT I HAVE READ THE ,"ПОДТВЕРЖАЮ, ЧТО МНОЙ ПРОЧИТАНО",ACKNOWLEDGE THAT I HAVE READ THE 
boost your power,чтобы усилить свою мощь!,boost your power
HEALING,ЛЕЧЕНИЕ,HEALING
SELECT,ВЫБРАТЬ,SELECT
Coordinates,,Coordinates
Heating up the jetpacks,РАЗОГРЕВАЕМ ДЖЕТПАКИ...,Heating up the jetpacks
Weapon Specs,,Weapon Specs
CONNECTION LOST,СОЕДИНЕНИЕ ПОТЕРЯНО,CONNECTION LOST
Banana bomb,БАНАН-БОМБА,Banana bomb
Dispersing the clouds,,Dispersing the clouds
Used to offset position in the direction of the camera. The value is multiplied by the direction vector from the camera to the particle.,,Used to offset position in the direction of the camera. The value is multiplied by the direction vector from the camera to the particle.
 JUMP,ПРЫЖОК, JUMP
Upgrade any 2 guns to max ,Улучшите любые 3 оружия до максимума,Upgrade any 2 guns to max 
drawing a man,,drawing a man
NW,,NW
Converted cascade module ParticleModuleSizeMultiplyLife.,,Converted cascade module ParticleModuleSizeMultiplyLife.
McFilthy,ГРЯЗНОРОТЫЙ,McFilthy
(AVERAGE TIME 45 SEC),ПРИМЕРНО 45 СЕК,(AVERAGE TIME 45 SEC)
INVALID IN,НЕДЕЙСТВИТЕЛЬНО,INVALID IN
Bruiser Rush,СПЕШКА ГРОМИЛЫ,Bruiser Rush
Reward-Done,,Reward-Done
Polishing guns...,ПОЛИРУЕМ ОРУЖИЕ...,Polishing guns...
CALCULATING RESULTS,ПОДСЧЁТ РЕЗУЛЬТАТОВ,CALCULATING RESULTS
Force,,Force
"MATCH INTERRUPTED.
TAP <GreenText>RECONNECT</> TO RESUME","МАТЧ ПРЕРВАН
НАЖМИ <GreenText>ПЕРЕПОДКЛЮЧИТЬСЯ</>, ЧТОБЫ ВОССТАНОВИТЬ ПОДКЛЮЧЕНИЕ","MATCH INTERRUPTED.
TAP <GreenText>RECONNECT</> TO RESUME"
Starter Bundle One,,Starter Bundle One
CUSTOMIZE GUN,ПЕРСОНАЛИЗАЦИЯ ОРУЖИЯ,CUSTOMIZE GUN
TEST,,TEST
UPGRADE ALL ITEMS,УЛУЧШИТЬ ВСЕ ВЕЩИ,UPGRADE ALL ITEMS
Spinning fortune wheel...,Вращаем колесо удачи...,Spinning fortune wheel...
Bolt:,,Bolt:
"We've deleted your data from the server. 
Reinstall the game to complete the removal procedure and to clear the cache. ","МЫ УДАЛИЛИ ВАШИ ДАННЫЕ С СЕРВЕРА.
ЧТОБЫ ЗАВЕРШИТЬ ПРОЦЕДУРУ УДАЛЕНИЯ ОЧИСТИТЕ ДАННЫЕ ИГРЫ В НАСТРОЙКАХ ПРИЛОЖЕНИЯ.","We've deleted your data from the server. 
Reinstall the game to complete the removal procedure and to clear the cache. "
"Check if a particle is within the specified radius around the attractor position, and of so, kill the particle. Prevents ""bounceback"" from high attraction velocities",,"Check if a particle is within the specified radius around the attractor position, and of so, kill the particle. Prevents ""bounceback"" from high attraction velocities"
Cowboy,,Cowboy
buy any 5 jetpacks,Купите 5 джетпаков,buy any 5 jetpacks
Spin,,Spin
Mantra flying on broomstick...,МАНТРА ЛЕТАЕТ НА МЕТЛЕ...,Mantra flying on broomstick...
EXIT TO MENU,ВЫЙТИ В МЕНЮ,EXIT TO MENU
Misfit chatting with fans...,ФИТОНЯШКА ЧАТИТСЯ С ФАНАТАМИ...,Misfit chatting with fans...
USE,ИСПОЛЬЗОВАТЬ,USE
Controlling the jumping frenzy...,КОНТРОЛИРУЕМ БЕЗУМНЫЕ ПРЫЖКИ...,Controlling the jumping frenzy...
NEXT: ,ДАЛЕЕ:,NEXT: 
Use Aim Assist,ПОМОЩЬ В ПРИЦЕЛИВАНИИ,Use Aim Assist
Mime making fake wall...,МИМ СОЗДАЕТ НЕВИДИМУЮ СТЕНУ...,Mime making fake wall...
"Are you sure you want to delete your account? 
This will permanently erase your account.","ВЫ УВЕРЕНЫ, ЧТО ХОТИТЕ УДАЛИТЬ СВОЙ АККАУНТ?
УДАЛЕНИЕ АККАУНТА ПРИВЕДЕТ К ОКОНЧАТЕЛЬНОЙ ПОТЕРЕ ВСЕГО ВАШЕГО ПРОГРЕССА","Are you sure you want to delete your account? 
This will permanently erase your account."
Hiding the jackpot,ПРЯЧЕМ ДЖЕКПОТЫ...,Hiding the jackpot
Spin-Result,,Spin-Result
name IS FORBIDDEN,ДАННОЕ ИМЯ ЗАПРЕЩЕНО К ИСПОЛЬЗОВАНИЮ,name IS FORBIDDEN
START,СТАРТ,START
Char Items,,Char Items
Converted cascade module ParticleModuleColor.,,Converted cascade module ParticleModuleColor.
CUSTOMIZE JETPACK,ПЕРСОНАЛИЗАЦИЯ ДЖЕТПАКА,CUSTOMIZE JETPACK
Bob the Blob jumping off ropes...,БОБ-БЛОБ ПРЫГАЕТ ПО ВЕРЁВКАМ...,Bob the Blob jumping off ropes...
Any gun sucks without upgrades. Make upgrades.,"ЛЮБОЕ ОРУЖИЕ - ОТСТОЙ, ЕСЛИ ЕГО НЕ УЛУЧШАТЬ. ЗАКАЗЫВАЙ АПГРЕЙД ДЛЯ ПУШКИ",Any gun sucks without upgrades. Make upgrades.
ROUND {1} LOST,РАУНД {1} ПРОИГРАН,ROUND {1} LOST
"PROBABILITY OF
MASTER CARDS: 5%","ШАНС ВЫПАДЕНИЯ 
КАРТОЧЕК МАСТЕРА: 5%","PROBABILITY OF
MASTER CARDS: 5%"
..RELOADING..,ПЕРЕЗАРЯДКА,..RELOADING..
KILLING CHALLENGE,ИСПЫТАНИЕ: УБИЙСТВО,KILLING CHALLENGE
Searching for the crab mine...,ИЩЕМ КРАБ-МИНУ...,Searching for the crab mine...
1000 / 1000,1000 / 1000,1000 / 1000
Control Mode,,Control Mode
Update,,Update
ACCOUNT,АККАУНТ,ACCOUNT
Vertical acceleration,,Vertical acceleration
Bad Connection,,Bad Connection
GRAPHICS,ГРАФИКА,GRAPHICS
"Click yellow button to start,
Click red button to end.",,"Click yellow button to start,
Click red button to end."
DPS,УРОН В СЕКУНДУ,DPS
Jet Trails Available,,Jet Trails Available
Pick up mythic armor,Подберите мифическую броню,Pick up mythic armor
Relocating UFO...,ПЕРЕДВИГАЕМ НЛО...,Relocating UFO...
Serving the kitchen...,УКРАШАЕМ КУХНЮ...,Serving the kitchen...
false,ВЫКЛ.,false
Weap-Item,,Weap-Item
Foliage Quality,,Foliage Quality
Rescue fueling flamethrower...,ПОМОШНИЧЕК ЗАПРАВЛЯЕТ ОГНЕМЁТ...,Rescue fueling flamethrower...
RenderTargetIconMode,,RenderTargetIconMode
1.A Compass Roses,,1.A Compass Roses
Turbo,,Turbo
SHOOTER,СТРЕЛОК,SHOOTER
Sign in with an account to save your game progress!,,Sign in with an account to save your game progress!
SpinInAir,,SpinInAir
Eagle repairing jetpacks...,ИГР РЕМОНТИРУЕТ ДЖЕТПАК...,Eagle repairing jetpacks...
Materials,,Materials
Bring {0} helmets down,Сбейте {0} шлемов,Bring {0} helmets down
"AIM WHERE YOU WANT TO
LAND AND PUSH VERTICAL
JUMP BUTTON AGAIN","ПРИЦЕЛЬТЕСЬ С ПОМОЩЬЮ УКАЗАТЕЛЯ НА ТО МЕСТО,
КУДА ВЫ ХОТИТЕ ПОЛЕТЕТЬ, И СНОВА НАЖМИТЕ
НА КНОПКУ ПРЫЖКА","AIM WHERE YOU WANT TO
LAND AND PUSH VERTICAL
JUMP BUTTON AGAIN"
"Sets the ribbon twist for a particle, in degrees.",,"Sets the ribbon twist for a particle, in degrees."
BECAUSE I CAN,"ПОТОМУ, ЧТО Я МОГУ",BECAUSE I CAN
XP,EXP,XP
DELIVERY IN PROGRESS,ДОСТАВКА УЖЕ В ПУТИ,DELIVERY IN PROGRESS
Multi,,Multi
"Update available, please update ASAP ","ДОСТУПНО ОБНОВЛЕНИЕ. ПОЖАЛУЙСТА, ОБНОВИТЕ ИГРУ","Update available, please update ASAP "
The Guy,ПАРЕНЁК,The Guy
rd,-ИЙ,rd
UPGRADES,УЛУЧШЕНИЯ,UPGRADES
Ghost Ship,ПРИЗРАЧНЫЙ КОРАБЛЬ,Ghost Ship
NorthNorthWest,,NorthNorthWest
PROGRESS,ПРОГРЕСС,PROGRESS
Pick up rare armor,Подберите редкую броню,Pick up rare armor
LOGIN SUCCESSFUL!,ВХОД ВЫПОЛНЕН!,LOGIN SUCCESSFUL!
NL ROUTINE,,NL ROUTINE
SKIN: {SkinName},СКИН {SkinName},SKIN: {SkinName}
play first battle,Сыграйте в первый матч,play first battle
Make any 5 medkit upgrades,Улучшите аптечку 5 раз,Make any 5 medkit upgrades
Type Name,,Type Name
El Guapo loading dual revolvers...,ЭЛЬ ГУАПО ЗАРЯЖАЕТ СВОИ РЕВОЛЬВЕРЫ...,El Guapo loading dual revolvers...
Get to battle royale top 5 with {0} different masters,"Достигните ТОП-5 в ""Королевской Битве"" с {0} разными мастерами",Get to battle royale top 5 with {0} different masters
WAS OUT,ВЫБЫВАЕТ,WAS OUT
ID,,ID
Gingerbread cooking cupcakes...,ИМБИРНЫЙ ПРЯНЯ ВЫПЕКАЕТ КЕКСИКИ...,Gingerbread cooking cupcakes...
E,,E
Bunny Man waiting for Easter...,БАННИ МЭН ЖДЁТ ПАСХАЛКУ,Bunny Man waiting for Easter...
ANSWER 3 QUESTIONS ,ОТВЕТЬТЕ НА 3 ВОПРОСА,ANSWER 3 QUESTIONS 
Please Allow Tracking!,,Please Allow Tracking!
GET TO THE PILL,ПОДБЕРИТЕ АПТЕЧКУ,GET TO THE PILL
SPECIAL ABILITY BUTTON,КНОПКА СУПЕРУДАРА,SPECIAL ABILITY BUTTON
MP5 NAVY,МП5-НАВИ,MP5 NAVY
Chase,,Chase
CustomFacingVector,,CustomFacingVector
Upgrade-Level,,Upgrade-Level
FREE-FOR-ALL,ВСЕ ПРОТИВ ВСЕХ,FREE-FOR-ALL
SYSTEM,СИСТЕМА,SYSTEM
Water Mortar,,Water Mortar
Ascend,,Ascend
Start:,,Start:
Crafting the banana bomb...,СОЗДАЕМ БАНАН-БОМБУ...,Crafting the banana bomb...
SPEED UP WEAPON DELIVERY,УСКОРИТЬ ДОСТАВКУ ОРУЖИЯ,SPEED UP WEAPON DELIVERY
Pick up legendary armor,Подберите легендарную броню,Pick up legendary armor
Pick up {0} banana bombs,Подберите {0} банана-бомб,Pick up {0} banana bombs
Bunny Man digging killer carrots...,БАННИ МЭН ВЗРАЩИВАЕТ УБИЙСТВЕННЫЕ МОРКОВКИ...,Bunny Man digging killer carrots...
"HELLO,  SIR!","ПРИВЕТСТВУЮ, СЭР!","HELLO,  SIR!"
Back From The Dead,ВОЗВРАЩЕНИЕ ИЗ МЁРТВЫХ,Back From The Dead
P_FireBall_Explosion,,P_FireBall_Explosion
QUEST HAS COMPLETED,ЗАДАНИЕ ВЫПОЛНЕНО,QUEST HAS COMPLETED
SELECT A MASTER ,ВЫБРАТЬ МАСТЕРА,SELECT A MASTER 
UPGRADE MASTER,УЛУЧШАЙ МАСТЕРОВ,UPGRADE MASTER
Fully upgraded gun is a real mccoy!,"Полностью улучшенное оружие - это самое лучшее, что могло быть!",Fully upgraded gun is a real mccoy!
Armor Red,,Armor Red
Preparing Master's outfits,ПОДГОТАВЛИВАЕМ НАРЯДЫ МАСТЕРОВ...,Preparing Master's outfits
POWER ARMOR,ФОРС-ЩИТ,POWER ARMOR
RESET ALL,СБРОСИТЬ ВСЁ,RESET ALL
Welcome to Iron Source,,Welcome to Iron Source
NEXT LVL 100 REWARD:,НАГРАДА ЗА LV. 100,NEXT LVL 100 REWARD:
View Distance Quality,,View Distance Quality
Incorrect Texture name prefix! Should be T_,,Incorrect Texture name prefix! Should be T_
Designing helmets,ПРОЕКТИРУЕМ ШЛЕМА...,Designing helmets
CONTINUE AS GUEST,ПРОДОЛЖИТЬ КАК ГОСТЬ,CONTINUE AS GUEST
Vibration Death,"ВИБРАЦИЯ
ПРИ СМЕРТИ",Vibration Death
Mefisto sharpening his horns...,МЕФИСТО НАТАЧИВАЕТ СВОИ РОГА...,Mefisto sharpening his horns...
{Permission} : {Result},,{Permission} : {Result}
I won't be back. I will annihilate everyone from the initial try with my upgraded guns.,,I won't be back. I will annihilate everyone from the initial try with my upgraded guns.
TOMORROW,ЗАВТРА,TOMORROW
"Make your Masters stronger! Use Master cards to upgrade 'em in the Master's profile. Upgrades provide you additional HP, more powerful ULT and increased amount of ULT Charges. Complete your Master's upgrades to get the Max Upgrade! ","ПРОКАЧИВАЙТЕ СВОИХ МАСТЕРОВ! ИСПОЛЬЗУЯ СООТВЕТСТВУЮЩИЕ КАРТОЧКИ, ВАШИ МАСТЕРА СТАНУТ СИЛЬНЕЕ, ОНИ ПОЛУЧАТ ДОП. HP, ИХ УЛЬТА СТАНЕТ МОЩНЕЕ И КОЛИЧЕСТВО ЗАРЯДОВ УВЕЛИЧИТСЯ. ПРОКАЧИВАЙТЕ МАСТЕРОВ ДО КОНЦА, ЧТОБЫ ДОСТИЧЬ МАКСИМАЛЬНО ВОЗМОЖНОЙ ОТМЕТКИ!","Make your Masters stronger! Use Master cards to upgrade 'em in the Master's profile. Upgrades provide you additional HP, more powerful ULT and increased amount of ULT Charges. Complete your Master's upgrades to get the Max Upgrade! "
GAME OVER,ИГРА ОКОНЧЕНА,GAME OVER
AN HOUR!,ЧАСА!,AN HOUR!
AS YOU CAN FOR A CHANCE AT ,КАК ТЫ МОЖЕШЬ ДЛЯ ШАНСА НА,AS YOU CAN FOR A CHANCE AT 
CHAMPIONS,МАСТЕРА,CHAMPIONS
CONGRATULATIONS,ПОЗДРАВЛЯЕМ!,CONGRATULATIONS
COOL REWARDS ,КРУТЫЕ НАГРАДЫ,COOL REWARDS 
DEAL,СДЕЛКА,DEAL
DEAL AS,,DEAL AS
HOLD YOUR POSITION IN THE TOP,СОХРАНИТЕ СВОЁ МЕСТО В ТОПЕ,HOLD YOUR POSITION IN THE TOP
KILL CHALLENGE ,ИСПЫТАНИЕ: УБИЙСТВО,KILL CHALLENGE 
NEXT:,ДАЛЕЕ:,NEXT:
NEXT CHALLENGE:,СЛЕДУЮЩЕЕ ИСПЫТАНИЕ: ,NEXT CHALLENGE:
PLACE,МЕСТО,PLACE
POTENTIAL REWARD,ПОТЕНЦИАЛЬНАЯ НАГРАДА,POTENTIAL REWARD
THE, ,THE
WINNERS,ПОБЕДИТЕЛИ,WINNERS
YOU'RE THE,ТЫ - ,YOU'RE THE
YOU DEALT:,ТЫ СДЕЛАЛ: ,YOU DEALT:
BLUE TEAM,"СИНЯЯ 
КОМАНДА",BLUE TEAM
DEFEAT,ПРОИГРЫШ,DEFEAT
RED TEAM,КРАСНАЯ КОМАНДА,RED TEAM
Victory,ПОБЕДА,Victory
Wasted,ПОТРАЧЕНО,Wasted
WINS,ПОБЕДЫ,WINS
1ST PLACE,МЕСТО #1,1ST PLACE
2ND PLACE,МЕСТО #2,2ND PLACE
3RD PLACE,МЕСТО #3,3RD PLACE
AIRBORNE/KILL,УБИЙСТВО/В ПОЛЁТЕ,AIRBORNE/KILL
GRENADE/KILL,ГРАНАТА/УБИЙСТВО,GRENADE/KILL
HEADSHOT/KILL,ХЭДШОТ/УБИЙСТВО,HEADSHOT/KILL
AIRBORNE KILL,УБИЙСТВО В ПОЛЁТЕ,AIRBORNE KILL
DEATHS,СМЕРТИ,DEATHS
DOUBLE KILL,,DOUBLE KILL
HEADSHOT,ХЭДШОТ,HEADSHOT
HEADSHOTS,ХЭДШОТЫ,HEADSHOTS
HELM DOWN,СБИТИЕ ШЛЕМА,HELM DOWN
JUMP KILLS,УБИЙСТВО В ПРЫЖКЕ,JUMP KILLS
KILLER,УБИЙЦА,KILLER
KILL HARVEST,УРОЖАЙ УБИЙСТВ,KILL HARVEST
KILLS,УБИЙСТВА,KILLS
MASTER,МАСТЕР,MASTER
PENTA KILL,,PENTA KILL
PLAYER,ИГРОК,PLAYER
QUADRO KILL,,QUADRO KILL
TOTAL,ИТОГО,TOTAL
TRIPLE KILL,,TRIPLE KILL
ULT KILL,УБИЙСТВО УЛЬТОЙ,ULT KILL
YOU,ВЫ,YOU
AMMUNITION,БОЕПРИПАСЫ,AMMUNITION
BOLT,ЗАТВОР,BOLT
FOREEND,ЦЕВЬЁ,FOREEND
MAGAZINE,МАГАЗИН,MAGAZINE
BOOST,УСИЛЕНИЕ,BOOST
"Express
Upgrade","МГНОВЕННОЕ
УЛУЧШЕНИЕ","Express
Upgrade"
SIGHT,ПРИЦЕЛ,SIGHT
STOCK,ПРИКЛАД,STOCK
AVAILABLE ON LVL {Level},ДОСТУПНО С LV. {Level},AVAILABLE ON LVL {Level}
EQUIP,ИСПОЛЬЗОВАТЬ,EQUIP
EQUIPPED,НАДЕТО,EQUIPPED
GUN,ОРУЖИЕ,GUN
HELMET,ШЛЕМ,HELMET
JETPACK,ДЖЕПАКТ,JETPACK
LOCKED,ЗАКРЫТО,LOCKED
NEW,НОВОЕ,NEW
SKIN,СКИН,SKIN
ACHIEVEMENTS,ДОСТИЖЕНИЯ,ACHIEVEMENTS
AI,ИИ,AI
ARMOR POWER BANK,ПОВЕРБАНК,ARMOR POWER BANK
GET CARDS,ПОЛУЧИТЬ КАРТОЧКИ,GET CARDS
GET {MASTERNAME} TO UNLOCK,"ПОЛУЧИТЕ {MASTERNAME}, ЧТОБЫ РАЗБЛОКИРОВАТЬ",GET {MASTERNAME} TO UNLOCK
YOU CAN FIND {CHARACTER} CARDS IN:,ВЫ МОЖЕТЕ НАЙТИ КАРТОЧКИ {CHARACTER} В:,YOU CAN FIND {CHARACTER} CARDS IN:
"THERE ARE NO AVAILABLE VIDEOS TO SHOW RIGHT NOW. 
COME BACK LATER! ","СЕЙЧАС НЕТ ДОСТУПНЫХ ВИДЕО К ПРОСМОТРУ.
ВОЗВРАЩАЙТЕСЬ ПОЗЖЕ!","THERE ARE NO AVAILABLE VIDEOS TO SHOW RIGHT NOW. 
COME BACK LATER! "
LVL,LV.,LVL
MAX LEVEL,МАКС. УРОВЕНЬ,MAX LEVEL
GAME CENTER,ВОЙТИ В APPLE GAME CENTER,GAME CENTER
APPLE ID,ВОЙТИ В APPLEID,APPLE ID
DISCONNECT,ВЫЙТИ,DISCONNECT
FACEBOOK,ВОЙТИ В FACEBOOK,FACEBOOK
GOOGLE,ВОЙТИ В GOOGLE,GOOGLE
PLAY GAMES,ВОЙТИ В GOOGLE PLAY GAMES,PLAY GAMES
CONSOLATION,ПООЩРЕНИЕ,CONSOLATION
PLAY NEXT,ИГРАТЬ ДАЛЬШЕ,PLAY NEXT
Common,ОБЫЧНЫЙ,Common
Epic,ЭПИЧЕСКИЙ,Epic
Legendary,ЛЕГЕНДАРНЫЙ,Legendary
Mythic,МИФИЧЕСКИЙ,Mythic
Placeholder,,Placeholder
Rare,РЕДКИЙ,Rare
DAILY QUESTS,ЕЖЕДНЕВНЫЕ ЗАДАНИЯ,DAILY QUESTS
SKINS,СКИНЫ,SKINS
UPGRADE,УЛУЧШЕНИЕ,UPGRADE
BUY,КУПИТЬ,BUY
CURRENCIES,ВАЛЮТЫ,CURRENCIES
FREE,БЕСПЛАТНО,FREE
GUN SKINS,СКИН ОРУЖИЯ,GUN SKINS
HELMETS,ШЛЕМА,HELMETS
JETPACKS,ДЖЕТПАКИ,JETPACKS
LIMITED OFFER,ПРЕДЛОЖЕНИЕ ОГРАНИЧЕНО,LIMITED OFFER
MASTER CARDS,КАРТОЧКИ МАСТЕРОВ,MASTER CARDS
MASTER SKINS,СКИНЫ МАСТЕРОВ,MASTER SKINS
10 GUNS WITH,10 ОРУЖИЙ С,10 GUNS WITH
BOOST TO LVL 25,СРАЗУ 25 УРОВЕНЬ,BOOST TO LVL 25
EXCLUSIVE MASTER,ЭКСКЛЮЗИВНЫЙ МАСТЕР,EXCLUSIVE MASTER
MAX  UPGRADE,МАКС. УЛУЧШЕНИЕ,MAX  UPGRADE
UNLOCK 3 MASTERS,РАЗБЛОКИРУЙ 3 МАСТЕРА,UNLOCK 3 MASTERS
HAT,ШЛЯПА,HAT
HIGH JUMPS,,HIGH JUMPS
LOW JUMPS,,LOW JUMPS
NO HELMET,БЕЗ ШЛЕМА,NO HELMET
NO PREMIUM,БЕЗ ПРЕМИУМА,NO PREMIUM
NORMAL JUMPS,ОБЫЧНЫЕ ПРЫЖКИ,NORMAL JUMPS
ALLOW,РАЗРЕШИТЬ,ALLOW
CANCEL,ОТМЕНИТЬ,CANCEL
CONFIRM,ПРИНЯТЬ,CONFIRM
CONTINUE,ПРОДОЛЖИТЬ,CONTINUE
MAIN MENU,ГЛАВНОЕ МЕНЮ,MAIN MENU
OK,ОК,OK
PLEASE WAIT,"ПОЖАЛУЙСТА, ПОДОЖДИТЕ",PLEASE WAIT
SETTINGS,НАСТРОЙКИ,SETTINGS
AR,ОЧКИ БРОНИ,AR
DAYS,ДНЕЙ,DAYS
h,Ч,h
H,Ч,H
HOUR,ЧАСОВ,HOUR
M,М,M
m,М,m
TH,-ЫЙ,TH
ND,-ОЙ,ND
SEC,СЕК,SEC
RD,-ИЙ,RD
